GeneName	FC	BatchId	SampleId	CN	SegmentNo
CCND2	1.1791580026905368	T00001	NWHP93133915647130	3	1
CCND2	0.9137466300219228	T00001	SMRK78016219070717	2	1
CCND2	0.939164194173257	T00001	IWXI91131864485297	2	1
CCND2	0.9406691451916022	T00001	MCFX44262304575323	2	1
CCND2	0.9445100218045933	T00001	GEAA71481940280135	2	1
CCND2	0.9845553761773597	T00001	HUIM74289818390357	2	1
CCND2	1.026834117137032	T00001	ZKLF35493492617233	2	1
CCND2	0.8179223745528323	T00001	MFEW55319934216974	2	1
CCND2	0.937486832626733	T00002	TWFP69685254051419	2	1
CCND2	0.9596300214882354	T00002	PLJK75975618851122	2	1
CCND2	0.9142287074947061	T00002	WAVX20938496287845	2	1
CCND2	0.9203833337841073	T00002	QHQF52948443205174	2	1
CCND2	1.1231086879612777	T00002	ZUSS26180202448730	3	1
CCND2	0.9221050736524131	T00002	IOTG10987781201519	2	1
CCND2	0.9324803937663363	T00002	OAGG95080349090898	2	1
CCND2	0.8858371102701421	T00002	PNXT75087498485377	2	1
CCND2	0.9911627392438567	T00003	HIYN68728721300124	2	1
CCND2	0.9771201514999123	T00003	URTY79632927012683	2	1
CCND2	0.9868642680880133	T00003	AFDH68945629806582	2	1
CCND2	0.8804653584250285	T00003	EYFJ17404891281489	2	1
CCND2	1.4043837737195306	T00003	NXDY75144040914809	4	1
CCND2	0.8609607630789481	T00003	GMXV36925883390099	2	1
CCND2	0.9703360950279174	T00003	TTOP77926489489598	2	1
CCND2	0.9547959101539102	T00003	GQQO38824448522641	2	1
CCND2	0.9453124064486699	T00004	MNYD89664545209040	2	1
CCND2	0.9335009780798721	T00004	LIEY26855143601225	2	1
CCND2	0.962510116166551	T00004	FXMY40081367932211	2	1
CCND2	0.8949106193644336	T00004	CKWE78604352786315	2	1
CCND2	0.4439468385658411	T00004	ARGG48454310651954	0	1
CCND2	0.9741446513664571	T00004	NKLH87974919924471	2	1
CCND2	0.9102747315116931	T00004	FZZS87095716282872	2	1
CCND2	0.9632787151319805	T00004	NBZX56996066105684	2	1
CCND2	0.9639945348975351	T00005	ISJX85768514521255	2	1
CCND2	0.8658344377055902	T00005	FYCD65105326290557	2	1
CCND2	0.9745941879517367	T00005	YYFT69178471569398	2	1
CCND2	1.1452211676021933	T00005	OEJQ43868197714639	3	1
CCND2	0.902107179438678	T00005	FUPW87665718724403	2	1
CCND2	0.9372043513847239	T00005	BYAX56147055972264	2	1
CCND2	0.9546353455715266	T00005	TZES76952850277060	2	1
CCND2	0.9643496748069663	T00005	XPGH19810147392962	2	1
CCND2	0.9837130253801898	T00006	BPOV64198359201703	2	1
CCND2	0.4472662232570305	T00006	IQUB29249152399917	0	1
CCND2	0.8602530078284145	T00006	VFLQ62845964540199	2	1
CCND2	0.9840500659541562	T00006	UTTA41923234068131	2	1
CCND2	0.9196270300279958	T00006	YOWX01826930736771	2	1
CCND2	1.001875937343392	T00006	QMGA14287992045595	2	1
CCND2	0.893100457159245	T00006	JYYE48753276481496	2	1
CCND2	0.9167424739691797	T00006	FUNJ28643957005801	2	1
CCND2	0.9564630201492844	T00007	EBAR29194404534506	2	1
CCND2	1.0144508770378036	T00007	WPGV96467641308062	2	1
CCND2	0.9900015479340872	T00007	CKGP43728637536565	2	1
CCND2	0.9217915220357897	T00007	LPLM55925952360760	2	1
CCND2	0.9198505695421364	T00007	QYMZ23274823528841	2	1
CCND2	0.9714066146597187	T00007	JQKT57617915118566	2	1
CCND2	0.9054734047830533	T00007	TWUV90106681827428	2	1
CCND2	0.9726471493394072	T00007	HCHD67468403016397	2	1
CCND2	0.9825703516119086	T00008	BOZH23257105457435	2	1
CCND2	0.4540008811355444	T00008	FJBS48087607463521	0	1
CCND2	0.9704225092229846	T00008	XJED85199023731898	2	1
CCND2	0.8808270926852655	T00008	ADSX95198009682356	2	1
CCND2	0.8988742350446852	T00008	XTHK34767977705228	2	1
CCND2	0.9864366900868299	T00008	QIKL34661209587361	2	1
CCND2	0.991572052002722	T00008	RUUD87436560212309	2	1
CCND2	0.979748815513937	T00008	NRVK52638902472995	2	1
CCND2	0.8638979086780882	T00009	QOPP58185942416701	2	1
CCND2	0.9483928739882888	T00009	ZINJ13896231584975	2	1
CCND2	0.8430681336870779	T00009	RNCS00898573162300	2	1
CCND2	0.932244620297326	T00009	VDER13310343120822	2	1
CCND2	0.436165876358481	T00009	YFYX94751318310313	0	1
CCND2	1.0582302894128428	T00009	ABTK57085473111264	2	1
CCND2	1.3197013005430343	T00009	KOAP22129033183700	4	1
CCND2	0.9540218218367437	T00009	ZMDM77724234255638	2	1
CCND2	0.932249416236242	T00010	RQHJ72132079814244	2	1
CCND2	0.9235131723553724	T00010	YUGI89860707587522	2	1
CCND2	0.9013988084585408	T00010	EHJK41976034322503	2	1
CCND2	0.8967594710728921	T00010	VTUP53685295395884	2	1
CCND2	0.4864763119964301	T00010	KGZY84797771543380	0	1
CCND2	0.47771897788710577	T00010	FLKB49617177889366	0	1
CCND2	0.9491557682301467	T00010	BDVD41262981110106	2	1
CCND2	0.4987160899354371	T00010	GPDC58287487920425	0	1
CCND2	0.9486021205318588	T00011	GSYJ65253465572038	2	1
CCND2	0.8907369102254804	T00011	SOWO17634364013278	2	1
CCND2	0.9749463462687159	T00011	CBRG60148364396975	2	1
CCND2	1.1945962149985636	T00011	IEPL19428720769908	3	1
CCND2	0.899919105911448	T00011	VZHH81000032325429	2	1
CCND2	0.7860618980276104	T00011	JCPZ98723367153834	1	1
CCND2	1.3404316780230152	T00011	OYIJ09967062169254	4	1
CCND2	1.1795134219113468	T00011	VQQI64490810155707	3	1
